NOMBRE DEL JUEGO: Persona 5 Royal, PLATAFORMA: PS4, RANKING: 1, PUNTUACION: 9.75,
NOMBRE DEL JUEGO: Undertale, PLATAFORMA: Switch, RANKING: 68, PUNTUACION: 9.15,
NOMBRE DEL JUEGO: Shadow of the Colossus (Remake), PLATAFORMA: PS4, RANKING: 69, PUNTUACION: 9.14,
NOMBRE DEL JUEGO: Dead Cells, PLATAFORMA: XBOne, RANKING: 70, PUNTUACION: 9.14,
NOMBRE DEL JUEGO: Celeste, PLATAFORMA: Switch, RANKING: 71, PUNTUACION: 9.14,
NOMBRE DEL JUEGO: Max Payne, PLATAFORMA: PC, RANKING: 72, PUNTUACION: 9.13,
NOMBRE DEL JUEGO: Metal Gear Solid V: The Phantom Pain, PLATAFORMA: PS4, RANKING: 73, PUNTUACION: 9.13,
NOMBRE DEL JUEGO: Sekiro: Shadows Die Twice, PLATAFORMA: PS4, RANKING: 74, PUNTUACION: 9.13,
NOMBRE DEL JUEGO: Journey, PLATAFORMA: PS4, RANKING: 75, PUNTUACION: 9.12,
NOMBRE DEL JUEGO: Dark Souls III, PLATAFORMA: PS4, RANKING: 76, PUNTUACION: 9.12,
NOMBRE DEL JUEGO: Doom Eternal, PLATAFORMA: PC, RANKING: 77, PUNTUACION: 9.11,
NOMBRE DEL JUEGO: Metal Gear Solid V: The Phantom Pain, PLATAFORMA: XBOne, RANKING: 78, PUNTUACION: 9.11,
NOMBRE DEL JUEGO: Shovel Knight, PLATAFORMA: XBOne, RANKING: 79, PUNTUACION: 9.11,
NOMBRE DEL JUEGO: Company of Heroes, PLATAFORMA: PC, RANKING: 80, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: Okami HD, PLATAFORMA: PC, RANKING: 81, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: Resident Evil 2 Remake, PLATAFORMA: XBOne, RANKING: 82, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: What Remains of Edith Finch, PLATAFORMA: XBOne, RANKING: 83, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: Monster Hunter World: Iceborne, PLATAFORMA: XBOne, RANKING: 84, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: Hades, PLATAFORMA: Switch, RANKING: 85, PUNTUACION: 9.1,
NOMBRE DEL JUEGO: Warcraft 3, PLATAFORMA: PC, RANKING: 86, PUNTUACION: 9.09,
NOMBRE DEL JUEGO: Mass Effect 3, PLATAFORMA: PC, RANKING: 87, PUNTUACION: 9.09,
NOMBRE DEL JUEGO: Dark Souls III, PLATAFORMA: PC, RANKING: 88, PUNTUACION: 9.09,
NOMBRE DEL JUEGO: Ori and the Will of the Wisps, PLATAFORMA: PC, RANKING: 89, PUNTUACION: 9.09,
NOMBRE DEL JUEGO: Shovel Knight: Treasure Trove, PLATAFORMA: Switch, RANKING: 90, PUNTUACION: 9.09,
NOMBRE DEL JUEGO: Far Cry, PLATAFORMA: PC, RANKING: 91, PUNTUACION: 9.08,
NOMBRE DEL JUEGO: Bayonetta 2, PLATAFORMA: Switch, RANKING: 92, PUNTUACION: 9.08,
NOMBRE DEL JUEGO: Ori and the Blind Forest, PLATAFORMA: PC, RANKING: 93, PUNTUACION: 9.07,
NOMBRE DEL JUEGO: Divinity: Original Sin Enhanced Edition, PLATAFORMA: XBOne, RANKING: 94, PUNTUACION: 9.07,
NOMBRE DEL JUEGO: Xenoblade Chronicles: Definitive Edition, PLATAFORMA: Switch, RANKING: 95, PUNTUACION: 9.07,
NOMBRE DEL JUEGO: Call of Duty 4: Modern Warfare, PLATAFORMA: PC, RANKING: 96, PUNTUACION: 9.06,
NOMBRE DEL JUEGO: Duck Game, PLATAFORMA: PC, RANKING: 97, PUNTUACION: 9.06,
NOMBRE DEL JUEGO: 13 Sentinels: Aegis Rim, PLATAFORMA: PS4, RANKING: 98, PUNTUACION: 9.06,
NOMBRE DEL JUEGO: Ori and the Blind Forest: Definitive Edition, PLATAFORMA: Switch, RANKING: 99, PUNTUACION: 9.06,
NOMBRE DEL JUEGO: Max Payne 2: The Fall of Max Payne, PLATAFORMA: PC, RANKING: 100, PUNTUACION: 9.05,
